CustomerID,Name,State,Education,Gender,Age,Married,NumPets,JoinDate,TransactionDate,MonthlySpend,DaysSinceLastInteraction
CUST10319,Scott Perez,Florida,High School,Non-Binary,47,Yes,1,9/19/21,9/2/24,1281.74,332
CUST10695,Jennifer Burton,Washington,Master,Male,72,Yes,0,4/5/24,6/2/24,429.46,424
CUST10297,Michelle Rogers,Arizona,Master,Female,40,Yes,2,7/24/24,2/28/25,510.34,153
CUST10103,Brooke Hendricks,Texas,Master,Male,27,Yes,0,8/12/23,3/29/25,396.47,124
CUST10219,Karen Johns,Texas,High School,Female,28,Yes,1,12/6/21,7/24/22,139.68,1103
CUST10841,Stephen Cooke,Texas,PhD,Female,55,Yes,2,5/25/22,4/4/23,423.45,849
CUST10263,Rodney James,Ohio,High School,Non-Binary,61,No,0,11/20/23,3/26/24,402.96,492
CUST10117,Jeffrey Miles,Arizona,High School,Male,21,Yes,2,9/28/20,7/9/23,175.81,753
CUST10611,John Walsh,New York,Master,Male,74,No,2,5/15/21,7/30/22,320.48,1097
CUST10466,James Pope,New York,Master,Female,50,No,1,7/28/21,1/28/23,151.49,915
CUST10058,Jennifer Anderson MD,Florida,PhD,Non-Binary,49,No,3,10/20/21,9/20/24,320.95,314
CUST10684,David Roy,Illinois,High School,Male,27,No,0,9/22/21,8/1/22,912.8,1095
CUST10802,April Davis,Arizona,Bachelor,Non-Binary,30,No,4,2/6/23,6/12/23,1225.58,780
CUST10221,Susan Reed,Texas,Bachelor,Male,25,Yes,1,4/3/23,11/16/23,444.74,623
CUST10621,Michelle Munoz,Georgia,Bachelor,Female,25,No,2,4/11/24,5/15/25,103.3,77
CUST10935,Scott Wood MD,California,High School,Male,78,No,0,2/5/23,5/5/24,315.62,452
CUST10768,Marc Smith,Arizona,Bachelor,Female,39,No,3,4/8/24,5/31/24,319.54,426
CUST10862,James Blake,Texas,Associate,Non-Binary,26,No,0,3/20/21,11/14/22,432.37,990
CUST10754,Brian Harris,California,Master,Male,28,Yes,1,5/2/21,12/30/21,353.14,1309
CUST10109,Thomas Gilbert,Florida,Master,Non-Binary,51,Yes,3,3/12/23,6/25/25,127.75,36
CUST10862,James Blake,Texas,Associate,Non-Binary,26,No,0,3/20/21,4/11/23,391.56,842
CUST10714,Bradley Williams,Georgia,Associate,Male,75,No,1,5/10/23,6/2/24,331.69,424
CUST10176,Phyllis Mason,California,PhD,Female,38,No,3,5/2/21,9/21/21,920.89,1409
CUST10499,Kathryn Campbell,Florida,Associate,Female,34,No,1,11/13/23,12/21/24,121.79,222
CUST10502,Hannah Turner,Colorado,Bachelor,Male,30,No,4,4/30/22,8/11/24,322.3,354
CUST10637,Emily Schneider,Florida,Associate,Non-Binary,68,No,1,3/1/22,2/20/25,547.29,161
CUST10253,Mrs. Lisa Jennings DDS,Illinois,Master,Male,61,Yes,0,3/25/22,8/18/22,249.12,1078
CUST10013,Jennifer Ritter,Florida,PhD,Non-Binary,73,Yes,4,2/6/24,4/28/24,994.47,459
CUST10358,Scott Finley,Ohio,High School,Male,21,Yes,2,10/31/21,6/20/24,172.63,406
CUST10962,Richard Rogers,Colorado,Associate,Female,26,No,0,5/8/24,7/2/24,311.23,394
CUST10739,Evelyn Buckley,Washington,Bachelor,Non-Binary,55,Yes,3,5/4/22,12/15/22,192.79,959
CUST10148,Erin Mason,Florida,PhD,Male,37,Yes,2,11/28/20,3/18/24,129.89,500
CUST10589,Nathan Sanders,Texas,PhD,Male,71,Yes,3,2/1/22,4/10/22,861.57,1208
